,Region,Subregion,StationID,Turnout,Percentage
0,Республика Адыгея (Адыгея),Адыгейская,УИК №1,0.961436170212766,0.9114799446749654
1,Республика Адыгея (Адыгея),Адыгейская,УИК №2,0.9688888888888889,0.9132262996941896
2,Республика Адыгея (Адыгея),Адыгейская,УИК №3,0.9583624912526242,0.9656809054399416
3,Республика Адыгея (Адыгея),Адыгейская,УИК №4,0.9675701839303001,0.8214107053526764
4,Республика Адыгея (Адыгея),Адыгейская,УИК №5,0.9814285714285714,0.9082969432314411
5,Республика Адыгея (Адыгея),Адыгейская,УИК №6,0.9789272030651341,0.9315068493150684
6,Республика Адыгея (Адыгея),Гиагинская,УИК №7,0.8051738075990299,0.802710843373494
7,Республика Адыгея (Адыгея),Гиагинская,УИК №8,0.9097909790979097,0.8391777509068924
8,Республика Адыгея (Адыгея),Гиагинская,УИК №9,0.9350541215653622,0.8023152270703473
9,Республика Адыгея (Адыгея),Гиагинская,УИК №10,0.9966139954853274,0.840317100792752
10,Республика Адыгея (Адыгея),Гиагинская,УИК №11,0.6839152119700748,0.731996353691887
11,Республика Адыгея (Адыгея),Гиагинская,УИК №12,0.8954143201930812,0.788858939802336
12,Республика Адыгея (Адыгея),Гиагинская,УИК №13,0.885784716516023,0.7217068645640075
13,Республика Адыгея (Адыгея),Гиагинская,УИК №14,0.9353128313891834,0.7981859410430839
14,Республика Адыгея (Адыгея),Гиагинская,УИК №15,0.8353658536585366,0.8613138686131386
15,Республика Адыгея (Адыгея),Гиагинская,УИК №16,0.9484304932735426,0.8806146572104019
16,Республика Адыгея (Адыгея),Гиагинская,УИК №17,0.8780487804878049,0.7407407407407407
17,Республика Адыгея (Адыгея),Гиагинская,УИК №18,0.8615384615384616,0.7142857142857143
18,Республика Адыгея (Адыгея),Гиагинская,УИК №19,0.9568421052631579,0.8162816281628162
19,Республика Адыгея (Адыгея),Гиагинская,УИК №20,0.9753086419753086,0.8742616033755274
20,Республика Адыгея (Адыгея),Гиагинская,УИК №21,0.9717223650385605,0.8478835978835979
21,Республика Адыгея (Адыгея),Гиагинская,УИК №22,0.9246861924686193,0.8438914027149321
22,Республика Адыгея (Адыгея),Гиагинская,УИК №23,0.9124513618677043,0.8837953091684435
23,Республика Адыгея (Адыгея),Гиагинская,УИК №24,0.8221052631578948,0.8220230473751601
24,Республика Адыгея (Адыгея),Гиагинская,УИК №25,0.9084967320261438,0.8489208633093526
25,Республика Адыгея (Адыгея),Гиагинская,УИК №26,0.9141965678627145,0.8293515358361775
26,Республика Адыгея (Адыгея),Гиагинская,УИК №27,0.8932584269662921,0.9119496855345912
27,Республика Адыгея (Адыгея),Гиагинская,УИК №28,0.9318518518518518,0.6470588235294118
28,Республика Адыгея (Адыгея),Гиагинская,УИК №29,0.944206008583691,0.7881818181818182
29,Республика Адыгея (Адыгея),Гиагинская,УИК №30,0.8925619834710744,0.7777777777777778
30,Республика Адыгея (Адыгея),Кошехабльская,УИК №31,0.9970311726867888,0.9667493796526054
31,Республика Адыгея (Адыгея),Кошехабльская,УИК №32,0.8940397350993378,0.9111111111111111
32,Республика Адыгея (Адыгея),Кошехабльская,УИК №33,0.9052631578947369,0.9302325581395349
33,Республика Адыгея (Адыгея),Кошехабльская,УИК №34,0.9421686746987952,0.928388746803069
34,Республика Адыгея (Адыгея),Кошехабльская,УИК №35,0.9872514023457419,0.9602272727272727
35,Республика Адыгея (Адыгея),Кошехабльская,УИК №36,0.9254545454545454,0.9410609037328095
36,Республика Адыгея (Адыгея),Кошехабльская,УИК №37,0.9906890130353817,0.9407894736842105
37,Республика Адыгея (Адыгея),Кошехабльская,УИК №38,0.970467596390484,0.945054945054945
38,Республика Адыгея (Адыгея),Кошехабльская,УИК №39,0.8805031446540881,0.8642857142857143
39,Республика Адыгея (Адыгея),Кошехабльская,УИК №40,0.9685863874345549,0.9459459459459459
40,Республика Адыгея (Адыгея),Кошехабльская,УИК №41,0.9906937394247038,0.9487617421007686
41,Республика Адыгея (Адыгея),Кошехабльская,УИК №42,0.9934906427990235,0.9541359541359541
42,Республика Адыгея (Адыгея),Кошехабльская,УИК №43,0.9449035812672176,0.9285714285714286
43,Республика Адыгея (Адыгея),Кошехабльская,УИК №44,0.9911080711354309,0.9585921325051759
44,Республика Адыгея (Адыгея),Кошехабльская,УИК №45,0.9942028985507246,0.9742468415937804
45,Республика Адыгея (Адыгея),Кошехабльская,УИК №46,0.9934541792547835,0.968068930562595
46,Республика Адыгея (Адыгея),Кошехабльская,УИК №47,0.9522673031026253,0.9097744360902256
47,Республика Адыгея (Адыгея),Кошехабльская,УИК №48,0.85,0.8529411764705882
48,Республика Адыгея (Адыгея),Кошехабльская,УИК №49,0.9288990825688074,0.8802469135802469
49,Республика Адыгея (Адыгея),Кошехабльская,УИК №50,0.9509981851179673,0.9255725190839694
50,Республика Адыгея (Адыгея),Кошехабльская,УИК №51,0.9906015037593985,0.9184060721062619
51,Республика Адыгея (Адыгея),Кошехабльская,УИК №52,0.9903474903474904,0.9454191033138402
52,Республика Адыгея (Адыгея),Красногвардейская,УИК №53,0.7251082251082251,0.7800995024875622
53,Республика Адыгея (Адыгея),Красногвардейская,УИК №54,0.912621359223301,0.9299123904881101
54,Республика Адыгея (Адыгея),Красногвардейская,УИК №55,0.9717624148003895,0.8266533066132264
55,Республика Адыгея (Адыгея),Красногвардейская,УИК №56,0.9012023000522739,0.8120649651972158
56,Республика Адыгея (Адыгея),Красногвардейская,УИК №57,0.8606911447084233,0.7785445420326224
57,Республика Адыгея (Адыгея),Красногвардейская,УИК №58,0.9019699812382739,0.8075923036921477
58,Республика Адыгея (Адыгея),Красногвардейская,УИК №59,0.9943630214205186,0.9625850340136054
59,Республика Адыгея (Адыгея),Красногвардейская,УИК №60,0.8836967808930426,0.8566392479435958
60,Республика Адыгея (Адыгея),Красногвардейская,УИК №61,0.6713147410358565,0.879080118694362
61,Республика Адыгея (Адыгея),Красногвардейская,УИК №62,0.944794952681388,0.8647746243739566
62,Республика Адыгея (Адыгея),Красногвардейская,УИК №63,0.898876404494382,0.8166666666666667
63,Республика Адыгея (Адыгея),Красногвардейская,УИК №64,0.896551724137931,0.8479020979020979
64,Республика Адыгея (Адыгея),Красногвардейская,УИК №65,0.9090909090909091,0.8607142857142858
65,Республика Адыгея (Адыгея),Красногвардейская,УИК №66,0.9226804123711341,0.8743016759776536
66,Республика Адыгея (Адыгея),Красногвардейская,УИК №67,1.0,0.9435600578871202
